condition,T_C,strain_rate,split,n_pts,model,R2,RMSE,AARE
250-0_01,250,0.01,val,12,ANN,0.9253826507375971,3.605404570168884,2.647595230444126
250-0_01,250,0.01,val,12,PGNN,0.9847187811426481,1.6315977370748773,1.3750439367092238
250-0_01,250,0.01,val,12,PGNN+λA,0.989249637931678,1.368502648134399,1.2814853221687421
250-0_01,250,0.01,test,13,SCAM,-294.11758876267754,83.85693340190385,57.27073434658677
250-0_01,250,0.01,test,13,ANN,0.941252486148642,3.988849928123641,3.4990145168724633
250-0_01,250,0.01,test,13,PGNN,0.9340352976336243,4.226771346689499,3.095190102902208
250-0_01,250,0.01,test,13,PGNN+λA,0.9722019484680353,2.7438485032838305,2.4120755259359288
250-0_1,250,0.1,train,68,SCAM,-14.024753516377368,84.76778506960027,31.763350352232056
250-0_1,250,0.1,train,68,ANN,0.97952454014335,6.543195775451103,2.587910026982429
250-0_1,250,0.1,train,68,PGNN,0.9952394216891239,3.1550259775065363,1.3997772565502637
250-0_1,250,0.1,train,68,PGNN+λA,0.9951890661696997,3.171668394142864,1.6615924644027145
250-0_1,250,0.1,val,14,SCAM,-2.939722002736647,65.12808876014572,35.086298867747026
250-0_1,250,0.1,val,14,ANN,0.9793242988054713,5.845046416562654,6.493742745492276
250-0_1,250,0.1,val,14,PGNN,0.9905129915456387,3.959337147271543,4.62805339484378
250-0_1,250,0.1,val,14,PGNN+λA,0.9972877866476894,2.1169946749607935,1.8630888386865374
250-0_1,250,0.1,test,16,SCAM,-2.5127517895140983,72.37615033194193,65.98735307075901
250-0_1,250,0.1,test,16,ANN,0.9709554333140873,9.852047394743705,25.976667530820958
250-0_1,250,0.1,test,16,PGNN,0.9839095515686405,7.332939729598279,22.949990158748616
250-0_1,250,0.1,test,16,PGNN+λA,0.9899827125387958,5.785875841482433,13.949919933065043
300-0_001,300,0.001,train,63,SCAM,-42.0439549845272,76.70342821464685,55.182600853146766
300-0_001,300,0.001,train,63,ANN,0.8655120623401183,4.832735648144458,6.04363209327317
300-0_001,300,0.001,train,63,PGNN,0.9514790798641366,2.9027917954309035,3.7121090361545437
300-0_001,300,0.001,train,63,PGNN+λA,0.9611738094077281,2.596652083523013,4.136342394174174
300-0_001,300,0.001,val,13,SCAM,-376.42844468669017,47.040876960662615,38.623240867607365
300-0_001,300,0.001,val,13,ANN,0.9643736700749973,2.3014191993358604,6.708752287278662
300-0_001,300,0.001,val,13,PGNN,0.9801612995616473,1.7173815738077112,3.293611383829952
300-0_001,300,0.001,val,13,PGNN+λA,0.9903859888290446,1.195535565535385,2.4756495132706298
300-0_001,300,0.001,test,15,SCAM,-1298.5594973283867,32.51914013529746,37.019706962570595
300-0_001,300,0.001,test,15,ANN,0.9672772440605582,2.4161263051902764,4.391918903645897
300-0_001,300,0.001,test,15,PGNN,0.9855636360048351,1.6048099521506063,3.2455408327148723
300-0_001,300,0.001,test,15,PGNN+λA,0.9774595851803154,2.0052828945396732,3.999154242408344
300-0_01,300,0.01,train,64,SCAM,-40.22948427292373,77.78607572882837,45.61135193631888
300-0_01,300,0.01,train,64,ANN,0.9334041811062722,4.573642283853997,6.676318563509994
300-0_01,300,0.01,train,64,PGNN,0.9791835680884476,2.5570655290853845,3.9170323834905716
300-0_01,300,0.01,train,64,PGNN+λA,0.9861535713546025,2.0854875356135745,3.13097597519873
300-0_01,300,0.01,val,13,SCAM,-101.33572848056352,39.096253274645356,27.35529597311971
300-0_01,300,0.01,val,13,ANN,0.9294271699522584,1.8516504522660342,2.2881270623170082
300-0_01,300,0.01,val,13,PGNN,0.9912902473181927,0.6504937833099499,0.7546445785879902
300-0_01,300,0.01,val,13,PGNN+λA,0.9677332455091665,1.2520390696658525,1.4478543396170003
300-0_01,300,0.01,test,15,SCAM,-2.1090442934014435,44.05290556689672,45.606044518626504
300-0_01,300,0.01,test,15,ANN,0.8998841993727764,6.634221107596646,5.645762656119919
300-0_01,300,0.01,test,15,PGNN,0.9527246604294639,4.5588568758425785,4.584438913059696
300-0_01,300,0.01,test,15,PGNN+λA,0.9785913060035337,3.0678471416152036,4.501375159982425
300-0_1,300,0.1,train,77,SCAM,-5.7474417523022785,48.602101646223495,25.746557983331975
300-0_1,300,0.1,train,77,ANN,0.9615957113320109,6.669488703451299,3.2006035066192475
300-0_1,300,0.1,train,77,PGNN,0.9874730870122808,3.8091204769877627,1.827358293553092
300-0_1,300,0.1,train,77,PGNN+λA,0.9911328732026139,3.204749865473161,2.110405078420268
300-0_1,300,0.1,val,16,SCAM,-138.09299197773962,63.02165636251417,40.66455916535997
300-0_1,300,0.1,val,16,ANN,0.9663489369141083,4.3168678346198055,1.5120393037513213
300-0_1,300,0.1,val,16,PGNN,0.9975162638494738,1.1727949502309798,0.5024673151197246
300-0_1,300,0.1,val,16,PGNN+λA,0.9966773159533103,1.3564815190661759,0.9044859876095825
300-0_1,300,0.1,test,18,SCAM,-70.08589480063021,126.0771520728892,60.407963466697154
300-0_1,300,0.1,test,18,ANN,0.9069908555585018,9.233666036752176,6.14216110639702
300-0_1,300,0.1,test,18,PGNN,0.980793539064512,4.195995481421597,3.0091301424684835
300-0_1,300,0.1,test,18,PGNN+λA,0.9776821326013007,4.523115571206618,3.5954583456996105
350-0_001,350,0.001,train,72,SCAM,-382.79630310862944,83.48979477976934,86.89555299421838
350-0_001,350,0.001,train,72,ANN,0.8890608675130323,3.3436819948722136,8.673453090361564
350-0_001,350,0.001,train,72,PGNN,0.9364823815548988,2.530053395927427,6.432571381969361
350-0_001,350,0.001,train,72,PGNN+λA,0.9569035181578426,2.084027728026458,5.517984286575009
350-0_001,350,0.001,val,15,SCAM,-499.1618537021364,17.772405635762556,26.796574506273778
350-0_001,350,0.001,val,15,ANN,0.884907427173102,1.6902123060814032,4.687123559123382
350-0_001,350,0.001,val,15,PGNN,0.903717349454458,1.545936420517033,4.351562419059611
350-0_001,350,0.001,val,15,PGNN+λA,0.8683632201636207,1.8076162422805995,4.555527811579742
350-0_001,350,0.001,test,16,SCAM,-28.59928623345037,14.916214027441832,21.812163825956674
350-0_001,350,0.001,test,16,ANN,0.6444662613045193,2.408255386866979,5.45562275621808
350-0_001,350,0.001,test,16,PGNN,0.6058863421917758,2.5355540525176608,6.0612909198141525
350-0_001,350,0.001,test,16,PGNN+λA,0.5656996062413145,2.661688584953345,6.437698630912333
350-0_01,350,0.01,train,79,SCAM,-103.12312376824127,81.89500849252293,62.3317383639197
350-0_01,350,0.01,train,79,ANN,0.9373931369926211,3.410026697769788,3.0639117178092166
350-0_01,350,0.01,train,79,PGNN,0.9760430554295001,2.1094173873691404,2.8194158215227736
