config,seed,fold,r2,rmse,aare
baseline,7,250-0_1,0.6875970363616943,26.800711505611773,19.684375762939453
baseline,7,300-0_001,0.775601327419281,6.210867481916652,9.2721529006958
baseline,7,300-0_01,0.7895134091377258,8.010667840784006,11.875235557556152
baseline,7,300-0_1,0.2610545754432678,27.811933807439118,8.934524536132812
baseline,7,350-0_001,0.813397228717804,3.8356341768440614,11.236227989196777
baseline,7,350-0_01,0.8986166715621948,4.385656838020835,7.8338942527771
baseline,7,350-0_1,-0.13943815231323242,22.002702720392172,25.178442001342773
baseline,7,400-0_001,0.8346221446990967,2.233590261664107,8.952415466308594
baseline,7,400-0_01,0.8404932618141174,3.5619455541854435,8.557613372802734
baseline,7,400-0_1,0.6942214965820312,9.338123681663408,15.828828811645508
baseline,7,450-0_001,0.4098173975944519,2.719142140137489,15.599738121032715
baseline,7,450-0_01,0.8513708114624023,2.607235608252015,5.576497554779053
baseline,7,450-0_1,0.7278672456741333,3.611455936759342,8.978371620178223
mono,42,250-0_001,0.8267735242843628,6.374437793549945,8.685168266296387
mono,42,250-0_01,0.7327641248703003,12.271577476817365,14.856526374816895
mono,42,250-0_1,0.6853525042533875,26.896816181532063,16.39984893798828
mono,42,300-0_001,0.8767139315605164,4.6036163047168355,6.893404006958008
mono,42,300-0_01,0.8987131714820862,5.556905440471416,8.585332870483398
mono,42,300-0_1,0.35996395349502563,25.88375219958821,9.21324348449707
mono,42,350-0_001,0.883673369884491,3.0284313192630212,8.23662281036377
mono,42,350-0_01,0.8575671911239624,5.198241178464818,9.813583374023438
mono,42,350-0_1,-0.25168704986572266,23.061021876327786,24.206424713134766
mono,42,400-0_001,0.8161619901657104,2.3549541967841785,9.88400650024414
mono,42,400-0_01,0.9363541007041931,2.2500021192752606,5.047060012817383
mono,42,400-0_1,0.5966049432754517,10.725595140283883,11.088096618652344
mono,42,450-0_001,0.6417781710624695,2.1184329490539584,12.074070930480957
mono,42,450-0_01,0.8878880739212036,2.2644051260316878,4.128857612609863
mono,42,450-0_1,0.6150357127189636,4.29538526199341,10.406417846679688
mono,1,250-0_001,0.900641679763794,4.8276623748069785,6.363855838775635
mono,1,250-0_01,-0.44225871562957764,28.508516879486535,20.245943069458008
mono,1,250-0_1,0.47419434785842896,34.769732903372656,20.314943313598633
mono,1,300-0_001,0.8970376253128052,4.207086107610077,7.089946269989014
mono,1,300-0_01,0.7631458044052124,8.497614806371312,12.136441230773926
mono,1,300-0_1,0.471649169921875,23.517231568874397,6.906005859375
mono,1,350-0_001,0.836381196975708,3.5916558840088983,9.952197074890137
mono,1,350-0_01,0.7803479433059692,6.455339619797985,11.986005783081055
mono,1,350-0_1,-0.28115689754486084,23.330917814655702,25.836320877075195
mono,1,400-0_001,0.8018879890441895,2.44466969386651,10.052711486816406
mono,1,400-0_01,0.9180415868759155,2.553256599461815,4.559531211853027
mono,1,400-0_1,0.5588584542274475,11.2161831695358,16.583465576171875
mono,1,450-0_001,0.6412605047225952,2.119963005570855,13.512807846069336
mono,1,450-0_01,0.8804363012313843,2.338449205866043,3.834681510925293
mono,1,450-0_1,0.7171444892883301,3.6819189477440086,8.000547409057617
mono,2,250-0_001,0.7866156101226807,7.074830490615819,14.062929153442383
mono,2,250-0_01,0.8242408633232117,9.952036847527786,8.547048568725586
mono,2,250-0_1,0.4870442748069763,34.342242915067445,22.18024444580078
mono,2,300-0_001,0.8116849064826965,5.689639181754384,8.581122398376465
mono,2,300-0_01,0.763300359249115,8.494841412730517,11.71536636352539
mono,2,300-0_1,0.3478686809539795,26.127179652644532,6.5269551277160645
mono,2,350-0_001,0.8640981912612915,3.273336987101684,8.482831954956055
mono,2,350-0_01,0.7842189073562622,6.398204086573612,11.92760944366455
mono,2,350-0_1,-0.23428523540496826,22.900156665249447,24.606796264648438
mono,2,400-0_001,0.8526726365089417,2.108174300195523,8.94375228881836
mono,2,400-0_01,0.9126622080802917,2.6357175833651554,5.428669452667236
mono,2,400-0_1,0.5249037742614746,11.639837169229295,18.008710861206055
mono,2,450-0_001,0.5792866349220276,2.295788358696691,13.732007026672363
mono,2,450-0_01,0.8562179207801819,2.564369450153367,5.523515701293945
mono,2,450-0_1,0.3605577349662781,5.535955291986474,13.646215438842773
mono,3,250-0_001,0.8370418548583984,6.182622971906353,11.104159355163574
mono,3,250-0_01,0.6768975257873535,13.49345634957228,12.929868698120117
mono,3,250-0_1,0.8789607286453247,16.68214542048109,14.677631378173828
mono,3,300-0_001,0.89101243019104,4.328432808958115,6.325865745544434
mono,3,300-0_01,0.906426727771759,5.341120915298205,8.166007995605469
mono,3,300-0_1,0.25014883279800415,28.01641364617802,9.251317024230957
mono,3,350-0_001,0.8258534073829651,3.705404103386967,12.98819351196289
mono,3,350-0_01,0.859417736530304,5.164362219164851,9.77135944366455
mono,3,350-0_1,-0.3131535053253174,23.620462940663334,25.143653869628906
mono,3,400-0_001,0.7935115098953247,2.495816831794239,10.441122055053711
mono,3,400-0_01,0.8976780772209167,2.8528705261995,5.329607963562012
mono,3,400-0_1,0.5218191146850586,11.67756369173014,17.33477020263672
mono,3,450-0_001,0.6451603174209595,2.1084086147131633,12.241399765014648
mono,3,450-0_01,0.8806217908859253,2.336634605267571,5.1163482666015625
mono,3,450-0_1,0.9432192444801331,1.6496524040071687,3.5584726333618164
mono,4,250-0_001,0.8689126372337341,5.545173491506223,9.192068099975586
mono,4,250-0_01,0.6731988191604614,13.570469356282585,11.407684326171875
mono,4,250-0_1,0.9095593094825745,14.420177818609329,13.120166778564453
mono,4,300-0_001,0.9156531095504761,3.807821686568858,6.944490909576416
mono,4,300-0_01,0.7741348147392273,8.298147100425068,12.493111610412598
mono,4,300-0_1,0.3469356894493103,26.145862772850293,7.59132719039917
mono,4,350-0_001,0.8525738716125488,3.4093010912750485,9.367655754089355
mono,4,350-0_01,0.9246094226837158,3.781898632060832,8.202411651611328
mono,4,350-0_1,-0.21530520915985107,22.723402635691468,22.15001678466797
mono,4,400-0_001,0.8509723544120789,2.1203045298820817,9.127447128295898
mono,4,400-0_01,0.842628538608551,3.5380238067705805,5.425330638885498
mono,4,400-0_1,0.6137125492095947,10.495699773960629,17.07782745361328
mono,4,450-0_001,0.5812697410583496,2.2903712570558743,14.177300453186035
mono,4,450-0_01,0.8539613485336304,2.5844139382174705,6.416703701019287
mono,4,450-0_1,0.8228075504302979,2.91416722331934,7.823576927185059
mono,5,250-0_001,0.8947736620903015,4.96817627479506,6.978687763214111
mono,5,250-0_01,0.8088924288749695,10.377481922050285,10.354647636413574
mono,5,250-0_1,0.783164381980896,22.328215207130583,16.807546615600586
mono,5,300-0_001,0.831505298614502,5.38189485697992,7.824007511138916
mono,5,300-0_01,0.8527181148529053,6.700869592060043,10.511052131652832
mono,5,300-0_1,0.38365817070007324,25.400123223433877,6.780616283416748
mono,5,350-0_001,0.881149172782898,3.0611119141282424,8.546243667602539
mono,5,350-0_01,0.9453495144844055,3.2199454448651323,6.139861583709717
mono,5,350-0_1,-0.19339275360107422,22.517613955133477,22.5866641998291
mono,5,400-0_001,0.7483148574829102,2.755456885584572,11.603869438171387
mono,5,400-0_01,0.8025458455085754,3.9630623258993043,7.978793144226074
mono,5,400-0_1,0.7505313754081726,8.434591964865255,13.403529167175293
mono,5,450-0_001,0.4675799012184143,2.5826522380496058,14.312100410461426
mono,5,450-0_01,0.8845739364624023,2.297630549095463,6.0556745529174805
mono,5,450-0_1,0.7274049520492554,3.6145221950552973,10.060172080993652
mono,6,250-0_001,0.7255319356918335,8.023809764215763,11.047959327697754
mono,6,250-0_01,0.42017078399658203,18.076031641980354,15.47435188293457
mono,6,250-0_1,0.32635337114334106,39.35544374223771,28.187931060791016
mono,6,300-0_001,0.832097053527832,5.3724360893640934,9.587738037109375
mono,6,300-0_01,0.923012912273407,4.844684338438504,7.583338737487793
mono,6,300-0_1,0.3175904154777527,26.726837683105394,8.380768775939941
mono,6,350-0_001,0.8563560247421265,3.3652846763779087,11.063560485839844
mono,6,350-0_01,0.9042561054229736,4.261936703151505,8.312459945678711
mono,6,350-0_1,-0.3590959310531616,24.030108321791463,26.911983489990234
mono,6,400-0_001,0.870416522026062,1.9771499665437262,6.548366069793701
mono,6,400-0_01,0.8720383644104004,3.190344793885079,6.365361213684082
mono,6,400-0_1,0.7436379194259644,8.550333331118862,13.259063720703125
mono,6,450-0_001,0.43453681468963623,2.6615882637771877,17.518108367919922
mono,6,450-0_01,0.9311726093292236,1.774226076353695,3.6069209575653076
mono,6,450-0_1,0.7788044214248657,3.2559677499584563,6.0204620361328125
mono,7,250-0_001,0.7420427203178406,7.778728766052993,15.387990951538086
mono,7,250-0_01,0.3098036050796509,19.72147443664084,16.547561645507812
mono,7,250-0_1,0.3567997217178345,38.455799442245215,27.735782623291016
mono,7,300-0_001,0.8128870725631714,5.67144958750265,10.011465072631836
