cond,config,seed,r2,rmse,aare
300-0_01,baseline,4,0.9620938897132874,0.6423070503947241,0.6912323832511902
300-0_1,baseline,4,0.9958220720291138,2.4638116431883246,1.5202285051345825
350-0_001,baseline,4,0.6695691347122192,3.315284422443537,7.340446949005127
350-0_01,baseline,4,0.9802993535995483,2.447458416407258,2.0348782539367676
350-0_1,baseline,4,0.9927889108657837,1.3244649832572755,1.2506159543991089
400-0_001,baseline,4,0.8107222318649292,2.543042816161683,4.5499982833862305
400-0_01,baseline,4,0.9914471507072449,0.41871412607511516,0.8459730744361877
400-0_1,baseline,4,0.9810147285461426,2.9312386843985516,1.2208679914474487
450-0_001,baseline,4,0.714598536491394,2.4697603500184866,14.692607879638672
450-0_01,baseline,4,0.9724608063697815,1.405242516639382,6.108625411987305
450-0_1,baseline,4,0.9637433886528015,1.3394369948187146,4.3696513175964355
RT-0_001,mono,4,0.9712215662002563,10.633137896265433,6.702988624572754
RT-0_01,mono,4,0.9822908043861389,4.792211794597287,2.14223313331604
RT-0_1,mono,4,0.9583081007003784,13.73850560486412,1.3153424263000488
150-0_001,mono,4,0.9804663062095642,4.833590971996939,2.885928153991699
150-0_01,mono,4,0.6672950387001038,20.72471751353019,7.29436731338501
150-0_1,mono,4,0.9849379062652588,7.120895542016643,3.333461284637451
250-0_001,mono,4,0.9107862710952759,6.21583649902154,29.7394962310791
250-0_01,mono,4,0.9359226822853088,2.747002441782885,2.47733998298645
250-0_1,mono,4,0.9603968262672424,11.724947579923466,32.792457580566406
300-0_001,mono,4,0.8835626840591431,5.29038851863458,6.214706897735596
300-0_01,mono,4,0.8633800745010376,1.2193970063226436,1.3375892639160156
300-0_1,mono,4,0.929069995880127,10.151754939759607,2.669785737991333
350-0_001,mono,4,0.6927961111068726,3.1966409696382123,8.336746215820312
350-0_01,mono,4,0.973136842250824,2.8579439845218366,4.388102054595947
350-0_1,mono,4,0.9914451837539673,1.442600654779389,1.0799388885498047
400-0_001,mono,4,0.83394855260849,2.3819092085900984,6.806830883026123
400-0_01,mono,4,0.8307976126670837,1.8623658816800994,3.995884895324707
400-0_1,mono,4,0.980287492275238,2.9868534042813337,2.851738929748535
450-0_001,mono,4,0.7636820077896118,2.2473726827608558,15.621434211730957
450-0_01,mono,4,0.9252690076828003,2.3148668909219743,10.041301727294922
450-0_1,mono,4,0.9664595127105713,1.2882896649772309,3.9358763694763184
RT-0_001,baseline,5,0.9531455636024475,13.961039691672713,11.317511558532715
RT-0_01,baseline,5,0.9973955750465393,2.224399948644749,1.1761798858642578
RT-0_1,baseline,5,0.8951964378356934,29.620886408429673,114.48171997070312
150-0_001,baseline,5,0.9379357099533081,3.1315604963944295,1.512495994567871
150-0_01,baseline,5,0.9443731307983398,3.292677100537391,1.4797413349151611
150-0_1,baseline,5,0.9615758657455444,11.65839012483003,2.2098770141601562
250-0_001,baseline,5,0.9659428596496582,1.399046312502221,1.6262335777282715
250-0_01,baseline,5,0.978927493095398,1.8434712474040633,1.5154918432235718
250-0_1,baseline,5,0.9859326481819153,2.077554265861688,1.5060508251190186
300-0_001,baseline,5,0.9412051439285278,2.0940635787945148,3.4549825191497803
300-0_01,baseline,5,0.9643187522888184,3.304302941711463,4.95255708694458
300-0_1,baseline,5,0.9726098775863647,6.893759086097962,5.048611164093018
350-0_001,baseline,5,0.9587661623954773,2.0056823830673753,3.0246951580047607
350-0_01,baseline,5,0.9975219368934631,0.49732052064770194,0.7856960296630859
350-0_1,baseline,5,0.9863237738609314,2.2870376536576846,1.2863283157348633
400-0_001,baseline,5,0.8836706876754761,2.451066532379054,6.710526943206787
400-0_01,baseline,5,0.9292522668838501,1.3857935438257059,2.9952666759490967
400-0_1,baseline,5,0.9463820457458496,4.211005442111906,9.527552604675293
450-0_001,baseline,5,0.44611287117004395,2.5476900446480206,15.694162368774414
450-0_01,baseline,5,0.6420854926109314,3.741763670300395,3.532442569732666
450-0_1,baseline,5,0.9585636258125305,1.4388757010796134,3.957315444946289
RT-0_001,mono,5,0.914615273475647,18.846584733142386,13.13632869720459
RT-0_01,mono,5,0.9700970649719238,7.537222998544302,3.944941520690918
RT-0_1,mono,5,0.8330392837524414,37.38669732296168,147.8524169921875
150-0_001,mono,5,0.8722660541534424,4.4925522100591575,2.279520034790039
